_id,adress,module,name
MM00000001,https://mp.weixin.qq.com/s/5EQ41WoASefwz8cpRwdzwQ,MM,物料主数据的货架寿命
MM00000002,https://mp.weixin.qq.com/s/P0N4bJPPvhMA2L7X5CTgag,MM,采购订单中的最近收货日期
